Alue;val
Ahvenanmaa;1276
Varsinais-Suomen SHP;28795
Satakunnan SHP;8193
Kanta-Hämeen SHP;7651
Pirkanmaan SHP;26994
Päijät-Hämeen SHP;11589
Kymenlaakson SHP;6328
Etelä-Karjalan SHP;4285
Etelä-Savon SHP;2556
Itä-Savon SHP;1086
Pohjois-Karjalan SHP;4015
Pohjois-Savon SHP;7024
Keski-Suomen SHP;9725
Etelä-Pohjanmaan SHP;5381
Vaasan SHP;8005
Keski-Pohjanmaan SHP;2318
Pohjois-Pohjanmaan SHP;20499
Kainuun SHP;1916
Länsi-Pohjan SHP;2037
Lapin SHP;4341
Helsingin ja Uudenmaan SHP;183262
Kaikki Alueet;347276
